id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,jumlah_sampah,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,28695.81,TON,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,25235.73,TON,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,27581.19,TON,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,29664.735,TON,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,34637.092,TON,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,33537.532,TON,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,36864.296,TON,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,37320.304,TON,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,36420.664,TON,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,37908.64,TON,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,36657.236,TON,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,37410.268,TON,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,38313.716,TON,2018
14,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,35883.26,TON,2018
15,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,38719.268,TON,2018
16,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,37898.168,TON,2018
17,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,39593.204,TON,2018
18,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,37230.816,TON,2018
19,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,41104.028,TON,2018
20,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,40345.962,TON,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,37861.02,TON,2018
22,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,40297.166,TON,2018
23,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,41560.446,TON,2018
24,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,41550.608,TON,2018
25,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,41818.504,TON,2019
26,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,36800.036,TON,2019
27,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,40453.812,TON,2019
28,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,38104.752,TON,2019
29,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,40669.44,TON,2019
30,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,38462.228,TON,2019
31,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,42520.604,TON,2019
32,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,41228.58,TON,2019
33,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,40997.49,TON,2019
34,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,43576.848,TON,2019
35,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,41633.19,TON,2019
36,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,42840.952,TON,2019
37,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,42785.736,TON,2020
38,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,38458.896,TON,2020
39,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,41679.512,TON,2020
40,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,39297.132,TON,2020
41,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,38331.328,TON,2020
42,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,39944.781,TON,2020
43,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,41369.636,TON,2020
44,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,41294.428,TON,2020
45,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,41191.136,TON,2020
46,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,41938.39,TON,2020
